request_id,affordability_status,recommended_payment_method,currency,lowest_projected_balance,lowest_balance_date,minimum_balance_to_keep,margin_above_minimum,buffer_days,risk_level
request_26,affordable_now,full_payment,IDR,71554718.38,2025-08-07,24768300.0,46786418.38,77.5,comfortable
request_27,affordable_now,full_payment,ZAR,31737.24,2026-09-16,20500.0,11237.24,18.7,moderate
request_28,affordable_later,wait,EUR,1349.5,2024-08-11,1100.0,249.5,7.2,moderate
request_29,not_affordable,not_recommended,ZAR,42124.33,2026-01-14,28300.0,13824.33,17.6,blocked
request_30,affordable_with_plan,installments,USD,3299.37,2026-06-07,900.0,2399.37,93.6,comfortable
request_31,affordable_later,wait,IDR,19194463.0,2024-09-13,16588900.0,2605563.0,5.8,tight
request_32,affordable_later,wait,ZAR,48978.1,2025-02-12,35700.0,13278.1,8.9,moderate
request_33,affordable_later,wait,INR,126755.62,2026-01-14,102100.0,24655.62,6.6,tight
request_34,affordable_now,full_payment,INR,418221.68,2024-12-07,138500.0,279721.68,81.5,comfortable
request_35,affordable_later,wait,INR,128916.65,2025-11-14,106400.0,22516.65,6.4,tight
request_36,affordable_later,wait,USD,2980.88,2026-07-09,2400.0,580.88,14.1,moderate
request_37,affordable_later,wait,IDR,21022835.33,2024-05-12,17056200.0,3966635.33,7.0,tight
request_38,affordable_later,wait,EUR,574.9,2025-08-14,400.0,174.9,15.3,moderate
request_39,affordable_later,wait,INR,268631.34,2026-04-14,213400.0,55231.34,8.6,moderate
request_40,affordable_later,wait,EUR,1855.73,2024-06-12,1500.0,355.73,7.7,moderate
request_41,affordable_later,wait,IDR,33206860.04,2025-11-14,25366600.0,7840260.04,9.1,moderate
request_42,affordable_now,full_payment,INR,156232.37,2026-01-13,113100.0,43132.37,11.6,moderate
request_43,affordable_later,wait,IDR,29805454.91,2024-09-14,21398000.0,8407454.91,14.9,moderate
request_44,affordable_later,wait,INR,113682.91,2025-02-12,82900.0,30782.91,10.0,moderate
request_45,affordable_later,wait,IDR,14600684.94,2026-07-13,11149800.0,3450884.94,12.6,moderate
request_46,affordable_with_plan,partial_payment,INR,84000.0,2024-12-13,84000.0,0.0,0.0,tight
request_47,affordable_now,full_payment,IDR,32181441.35,2025-07-08,30049000.0,2132441.35,2.8,tight
request_48,affordable_now,full_payment,INR,75786.35,2026-08-14,71300.0,4486.35,2.1,tight
request_49,affordable_with_plan,installments,IDR,24189433.13,2024-04-14,20275700.0,3913733.13,5.4,tight
request_50,affordable_now,full_payment,INR,155025.16,2025-08-14,99700.0,55325.16,17.5,moderate
request_51,affordable_now,full_payment,IDR,29548456.68,2026-01-04,7811000.0,21737456.68,91.3,comfortable
request_52,affordable_later,wait,INR,54738.87,2024-07-10,41500.0,13238.87,9.7,moderate
request_53,affordable_with_plan,installments,USD,2404.08,2025-12-13,2100.0,304.08,4.3,tight
request_54,not_affordable,not_recommended,ZAR,38755.58,2026-07-12,37000.0,1755.58,3.0,blocked
request_55,affordable_with_plan,installments,INR,126617.98,2026-08-14,124300.0,2317.98,0.5,tight
request_56,affordable_with_plan,partial_payment,USD,2100.0,2025-02-13,2100.0,0.0,0.0,tight
request_57,affordable_later,wait,ZAR,55295.87,2026-04-12,42700.0,12595.87,13.4,moderate
request_58,affordable_now,full_payment,IDR,20842756.26,2024-12-14,14433900.0,6408856.26,11.2,moderate
request_59,affordable_with_plan,installments,INR,184085.24,2025-07-16,132600.0,51485.24,11.9,moderate
request_60,affordable_later,wait,USD,408.49,2026-02-13,400.0,8.49,0.7,tight
request_61,affordable_with_plan,installments,ZAR,46267.94,2024-05-18,36700.0,9567.94,12.3,moderate
request_62,affordable_now,full_payment,USD,4622.88,2025-08-07,1300.0,3322.88,87.7,comfortable
request_63,not_affordable,not_recommended,INR,191896.01,2026-07-14,153500.0,38396.01,8.4,blocked
request_64,not_affordable,not_recommended,INR,-1293.04,2024-06-13,36100.0,-37393.04,-17.4,blocked
request_65,not_affordable,not_recommended,ZAR,21249.87,2025-11-14,15500.0,5749.87,14.8,blocked
request_66,affordable_now,full_payment,INR,243207.48,2026-04-07,80700.0,162507.48,87.8,comfortable
request_67,affordable_later,wait,USD,1497.78,2024-09-13,1200.0,297.78,7.1,moderate
request_68,affordable_with_plan,installments,USD,1791.47,2025-04-12,1500.0,291.47,4.7,tight
request_69,affordable_now,full_payment,EUR,725.42,2026-01-12,700.0,25.42,0.8,tight
request_70,affordable_later,wait,INR,164190.01,2024-12-12,115000.0,49190.01,12.0,moderate
request_71,not_affordable,not_recommended,IDR,9062269.35,2025-05-14,8884800.0,177469.35,0.6,blocked
request_72,affordable_now,full_payment,ZAR,12560.16,2026-07-12,12200.0,360.16,0.8,tight
request_73,affordable_now,full_payment,INR,104330.19,2023-02-12,103200.0,1130.19,0.4,tight
request_74,affordable_now,full_payment,ZAR,63645.21,2025-08-07,21900.0,41745.21,104.0,comfortable
request_75,affordable_with_plan,installments,ZAR,39606.1,2026-07-04,39000.0,606.1,0.7,tight
request_76,not_affordable,not_recommended,USD,2535.24,2024-06-14,1800.0,735.24,12.8,blocked
request_77,affordable_with_plan,full_payment,INR,82743.85,2025-11-13,82200.0,543.85,0.2,tight
request_78,affordable_later,wait,INR,57192.49,2025-11-14,55200.0,1992.49,0.9,tight
request_79,not_affordable,not_recommended,EUR,1299.67,2024-09-14,1000.0,299.67,8.6,blocked
request_80,not_affordable,not_recommended,INR,231638.72,2025-02-12,121300.0,110338.72,26.3,blocked
request_81,affordable_now,full_payment,USD,1629.98,2026-08-13,1600.0,29.98,0.4,tight
request_82,affordable_later,wait,USD,1412.25,2024-12-13,1100.0,312.25,7.1,moderate
request_83,not_affordable,not_recommended,INR,45002.23,2025-05-14,37800.0,7202.23,5.9,blocked
request_84,affordable_later,wait,INR,114182.55,2026-04-13,91300.0,22882.55,9.1,moderate
request_85,not_affordable,not_recommended,IDR,6840483.52,2024-03-14,6396300.0,444183.52,2.5,blocked
request_86,affordable_now,full_payment,INR,88974.01,2025-08-16,84900.0,4074.01,1.3,tight
request_87,not_affordable,not_recommended,INR,202053.19,2026-01-14,185900.0,16153.19,2.5,blocked
request_88,affordable_with_plan,installments,ZAR,27488.77,2024-06-14,25800.0,1688.77,2.7,tight
request_89,affordable_with_plan,installments,IDR,12982690.18,2026-01-13,12534700.0,447990.18,1.2,tight
request_90,affordable_now,full_payment,ZAR,26773.96,2026-07-13,7600.0,19173.96,83.1,comfortable
request_91,affordable_later,wait,EUR,2388.54,2024-09-14,2100.0,288.54,4.5,tight
request_92,affordable_now,full_payment,ZAR,29701.89,2025-02-13,28100.0,1601.89,2.0,tight
