request_id,safe_pessimistic,safe_expected,safe_optimistic
request_26,15656000.0,15656000.0,15656000.0
request_27,0.0,6670.0,6670.0
request_28,253.56,292.92,291.35
request_29,0.0,13824.33,23758.04
request_30,775.2,775.2,775.2
request_31,1823327.17,2605563.0,2666418.12
request_32,7231.24,13278.1,13402.88
request_33,18098.25,24655.62,24655.62
request_34,129400.0,129400.0,129400.0
request_35,13516.26,22516.65,22646.15
request_36,527.18,580.88,586.55
request_37,3702475.53,4433268.05,4417999.27
request_38,152.95,174.9,171.81
request_39,38816.93,55231.34,56993.97
request_40,236.5,355.73,355.73
request_41,6044643.43,7840260.04,7737108.32
request_42,52100.0,52100.0,52100.0
request_43,7851388.5,8407454.91,8342128.42
request_44,27800.61,30782.91,30817.54
request_45,2906071.0,3450884.94,3347921.09
request_46,30157.41,35406.67,35126.66
request_47,29538781.72,38114000.0,38114000.0
request_48,40689.37,45700.0,45700.0
request_49,11693971.79,12215729.09,12601853.92
request_50,43900.0,43900.0,43900.0
request_51,2191000.0,2191000.0,2191000.0
request_52,17829.36,19253.15,19388.71
request_53,416.2,467.68,467.68
request_54,686.13,1755.58,1904.41
request_55,124638.84,128963.15,128963.15
request_56,577.89,635.29,638.23
request_57,12098.95,12595.87,12759.57
request_58,16226000.0,16226000.0,16226000.0
request_59,83330.89,140600.0,140600.0
request_60,98.28,119.05,117.23
request_61,26915.52,29062.0,29062.0
request_62,404.23,404.23,404.23
request_63,30968.34,38396.01,37380.14
request_64,0.0,0.0,0.0
request_65,5388.64,5749.87,5903.16
request_66,22200.0,22200.0,22200.0
request_67,230.74,297.78,296.53
request_68,1258.29,1332.71,1331.39
request_69,400.13,529.1,529.1
request_70,48080.83,49190.01,50373.61
request_71,0.0,177469.35,222360.34
request_72,11230.35,11330.0,11330.0
request_73,64637.23,71400.0,71400.0
request_74,5010.0,5010.0,5010.0
request_75,7958.44,24156.01,28270.0
request_76,589.76,735.24,721.78
request_77,56888.64,60538.85,60105.01
request_78,36894.03,45556.92,45556.92
request_79,23.83,299.67,312.96
request_80,107338.52,110338.72,110338.72
request_81,1817.06,2076.0,2076.0
