request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days. The lowest projected balance with this plan is IDR 71,554,718.38 on 7 August 2025."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days. The lowest projected balance with this plan is ZAR 31,737.24 on 16 September 2026."
request_28,292.92,affordable_later,wait,2024-07-15:1302.40,2024-07-15,none,"Pay EUR 1,302.40 in full on 15 July 2024. Paying earlier would take the balance below the EUR 1,100 minimum. The lowest projected balance with this plan is EUR 1,349.50 on 11 August 2024."
request_29,13824.33,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. The full amount does not become safe within the 90-day forecast, and none of the available options keeps the ZAR 28,300 minimum protected. Without this purchase, the lowest projected balance is ZAR 42,124.33 on 14 January 2026."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available. The lowest projected balance with this plan is USD 3,299.37 on 7 June 2026."
request_31,2605563,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16,588,900 minimum. The lowest projected balance with this plan is IDR 19,194,463 on 13 September 2024."
request_32,13278.10,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018 in full on 15 April 2025. Paying earlier would take the balance below the ZAR 35,700 minimum. The lowest projected balance with this plan is ZAR 48,978.10 on 12 February 2025."
request_33,24655.62,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum. The lowest projected balance with this plan is INR 126,755.62 on 14 January 2026."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days. The lowest projected balance with this plan is INR 418,221.68 on 7 December 2024."
request_35,22516.65,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum. The lowest projected balance with this plan is INR 128,916.65 on 14 November 2025."
request_36,580.88,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 15 September 2026. Paying earlier would take the balance below the USD 2,400 minimum. The lowest projected balance with this plan is USD 2,980.88 on 9 July 2026."
request_37,4433268.05,affordable_later,wait,2024-04-15:14649000,2024-04-15,none,"Pay IDR 14,649,000 in full on 15 April 2024. Paying earlier would take the balance below the IDR 17,056,200 minimum. The lowest projected balance with this plan is IDR 21,022,835.33 on 12 May 2024."
request_38,174.90,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum. The lowest projected balance with this plan is EUR 574.90 on 14 August 2025.
request_39,55231.34,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum. The lowest projected balance with this plan is INR 268,631.34 on 14 April 2026."
request_40,355.73,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Pay EUR 1,290.30 in full on 15 August 2024. Paying earlier would take the balance below the EUR 1,500 minimum. The lowest projected balance with this plan is EUR 1,855.73 on 12 June 2024."
request_41,7840260.04,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25,366,600 minimum. The lowest projected balance with this plan is IDR 33,206,860.04 on 14 November 2025."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days. The lowest projected balance with this plan is INR 156,232.37 on 13 January 2026."
request_43,8407454.91,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum. The lowest projected balance with this plan is IDR 29,805,454.91 on 14 September 2024."
request_44,30782.91,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum. The lowest projected balance with this plan is INR 113,682.91 on 12 February 2025."
request_45,3450884.94,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Pay IDR 21,983,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11,149,800 minimum. The lowest projected balance with this plan is IDR 14,600,684.94 on 13 July 2026."
request_46,35406.67,affordable_with_plan,partial_payment,2024-12-03:35406.67|2024-12-15:14043.33,2024-12-15,none,"Pay INR 35,406.67 today and the remaining INR 14,043.33 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected. The lowest projected balance with this plan is INR 84,000 on 13 December 2024."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days. The lowest projected balance with this plan is IDR 32,181,441.35 on 8 July 2025."
